player, rating, price
Leon Bailey,93,59.5k
Leon Goretzka,93,218k
Naldo,93,76k
Mohamed Salah,93,280k
N'Golo Kanté,93,150k
Raphaël Varane,93,0
Kylian Mbappé,93,0
Iago Aspas,93,50k
Jordi Alba,93,259k
Raheem Sterling,93,124k
Roberto Firmino,93,185k
Leroy Sané,93,395k
Nicolás Otamendi,93,94.5k
Fernandinho,93,206k
Marek Hamšík,93,94.5k
Piqué,93,99.5k
Leroy Sané,93,0
Mohamed Salah,93,190k
Paulo Dybala,93,425k
Robert Lewandowski,93,185k
Gonzalo Higuaín,93,78k
Gonzalo Higuaín,93,85k
Sergio Agüero,93,375k
Dani Alves,93,253k
Harry Kane,93,0
Luis Suárez,93,259k
Eden Hazard,93,375k
Kevin De Bruyne,93,230k
Neymar,93,481k
Raphaël Varane,93,309k
Mohamed Salah,93,205k
Lothar Matthäus,93,1.38m
Marco van Basten,93,480k
Ruud Gullit,93,3m
Thierry Henry,93,1.4m
Lionel Messi,93,240k
Paul Pogba,92,770k
Romain Alessandrini,92,0
Hirving Lozano,92,0
Šime Vrsaljko,92,950
Kostas Manolas,92,0
Lucas Hernández,92,35k
Thomas Lemar,92,96k
Clint Dempsey,92,39k
Antonio Valencia,92,292k
Andreas Granqvist,92,60k
Ivan Perišić,92,180k
Olivier Giroud,92,60k
Ivan Rakitić,92,170k
Pedro,92,93k
Wayne Rooney,92,140k
Aleksandar Kolarov,92,55k
Coutinho,92,230k
Bruno Fernandes,92,80k
Burak Yılmaz,92,55k
Bafétimbi Gomis,92,0
Karl Toko-Ekambi,92,34k
Marquinhos,92,47.25k
Stefan de Vrij,92,37.25k
Milan Škriniar,92,35k
Allan,92,48.5k
Bobby Moore,92,???
Gary Lineker,92,???
Carles Puyol,92,490k
Robert Lewandowski,92,0
Luis Suárez,92,0
Edinson Cavani,92,690k
Harry Kane,92,0
Gareth Bale,92,535k
Filipe Luís,92,64.5k
Sergi Roberto,92,57k
Rodrigo,92,46k
Saúl,92,45k
Heung Min Son,92,220k
Dele Alli,92,145k
Nemanja Matić,92,70k
Azpilicueta,92,293k
Kyle Walker,92,245k
Jan Vertonghen,92,100k
Alexis Sánchez,92,110k
Javi Martinez,92,83k
Sergio Busquets,92,78.5k
Christian Eriksen,92,119k
Antoine Griezmann,92,460k
Toni Kroos,92,128k
Kaká,92,0
Eden Hazard,92,275k
Paulo Dybala,92,228k
Thomas Lemar,92,106k
Mohamed Salah,92,24k
Gonzalo Higuaín,92,62k
Alexis Sánchez,92,116k
Sergio Agüero,92,380k
David Silva,92,79k
Edinson Cavani,92,0
Eden Hazard,92,280k
Robert Lewandowski,92,124k
Kevin De Bruyne,92,188k
Paolo Maldini,92,666k
Dennis Bergkamp,92,490k
Alessandro Nesta,92,448k
Javier Zanetti,92,595k
Alessandro Del Piero,92,535k
Carles Puyol,92,379k
Luis Suárez,92,94k
Neymar,92,97k
Thomas Müller,91,114k
Marcus Rashford,91,0
Anthony Martial,91,0
Tiémoué Bakayoko,91,0
Samuel Umtiti,91,113k
Blaise Matuidi,91,128k
Steven N'Zonzi,91,37k
Corentin Tolisso,91,95k
Adil Rami,91,30k
Willian,91,96k
Takashi Inui,91,50.5k
Quaresma,91,35k
Andreas Granqvist,91,44k
Jesse Lingard,91,110k
Juan Cuadrado,91,96k
Marcelo,91,296k
Mario Götze,91,34k
Santi Cazorla,91,43.25k
Ashley Cole,91,27k
Diego Costa,91,65.5k
Hirving Lozano,91,42k
Mathieu Debuchy,91,29k
Presnel Kimpembe,91,30k
Luis Alberto,91,34k
Josip Iličić,91,26k
Ronaldinho,91,1.2m
Laurent Blanc,91,515k
Djaniny,91,51k
Yacine Brahimi,91,42k
Avilés Hurtado,91,76k
Fedor Smolov,91,55k
Bas Dost,91,83.5k
Thorgan Hazard,91,40k
Salif Sané,91,32k
Wendell,91,39.75k
Samuel Umtiti,91,640k
Toni Kroos,91,0
Gonçalo Guedes,91,42k
Pierre-Emerick Aubame...,91,300k
Riyad Mahrez,91,61k
Alejandro Gómez,91,50k
Thomas Lemar,91,63k
Fabinho,91,35k
Niklas Süle,91,38k
Paul Pogba,91,618k
Alexis Sánchez,91,0
Luka Modrić,91,0
Gareth Bale,91,515k
Christian Eriksen,91,90k
Mohamed Salah,91,515k
Willian,91,93k
Antoine Griezmann,91,576k
Kevin De Bruyne,91,52k
Eden Hazard,91,79k
Thiago,91,0
Mats Hummels,91,97k
Pierre-Emerick Aubame...,91,250k
Toni Kroos,91,95.5k
Alexis Sánchez,91,125k
Paulo Dybala,91,280k
Sergio Agüero,91,281k
Harry Kane,91,142k
Andrea Pirlo,91,0
David Silva,91,60k
Gonzalo Higuaín,91,65k
Harry Kane,91,92k
Marco van Basten,91,350k
Laurent Blanc,91,604k
Patrick Kluivert,91,369k
Michael Laudrup,91,340k
Lothar Matthäus,91,520k
Gheorghe Hagi,91,320k
Andriy Shevchenko,91,488k
Marcel Desailly,91,630k
Alan Shearer,91,380k
Robert Pirès,91,349k
Patrick Vieira,91,1.55m
Michael Owen,91,420k
Roberto Carlos,91,755k
Ronaldinho,91,960k
Pelé,91,1.38m
Diego Maradona,91,854k
Robert Lewandowski,91,31k
Gonzalo Higuaín,90,0
Zlatan Ibrahimović,90,99k
Jermain Defoe,90,0
Benjamin Pavard,90,39k
Kieran Trippier,90,62k
Raphaël Varane,90,267k
Mário Fernandes,90,31.75k
Artem Dzyuba,90,29.75k
Emmanuel Adebayor,90,25.5k
Samuel Eto'o,90,24.25k
Michael Bradley,90,29k
Ezequiel Garay,90,40k
Dani Alves,90,56k
Paulinho,90,115k
Takashi Inui,90,43.25k
Cesc Fàbregas,90,0
Nani,90,71.5k
Andreas Granqvist,90,38.75k
Aaron Mooy,90,47.5k
Arturo Vidal,90,0
N'Golo Kanté,90,205k
Marcelo,90,0
Jérôme Roussillon,90,35.25k
Mariano,90,34.75k
Houssem Aouar,90,34.25k
Adil Rami,90,35k
Fabio Quagliarella,90,0
Lucas Torreira,90,34k
Aleksandar Kolarov,90,38k
Federico Chiesa,90,35k
Jay-Jay Okocha,90,0
Rui Costa,90,0
Deco,90,0
Luis Hernández,90,0
Christian Eriksen,90,0
Facundo Ferreyra,90,75k
Alireza Jahanbakhsh,90,60k
Edin Višća,90,45.5k
Maicon,90,57k
Moussa Marega,90,0
Sergio Ramos,90,0
Daniel Caligiuri,90,35k
Serge Gnabry,90,42k
Philipp Max,90,36.5k
Paul Pogba,90,???
Olivier Giroud,90,140k
Mats Hummels,90,439k
Lucas Hernández,90,95k
Sadio Mané,90,113k
Ashley Young,90,56k
Iniesta,90,64.5k
Sebastian Giovinco,90,24.75k
Adrien Rabiot,90,30k
Thomas Müller,90,70k
Pierre-Emerick Aubame...,90,185k
Zlatan Ibrahimović,90,0
Wayne Rooney,90,0
Marco Reus,90,235k
Gareth Bale,90,380k
Antoine Griezmann,90,499k
Edinson Cavani,90,85k
Mohamed Salah,90,150k
Dries Mertens,90,200k
Gareth Bale,90,368k
Paul Pogba,90,490k
Harry Kane,90,82.5k
Christian Eriksen,90,91k
Mats Hummels,90,89.5k
Alexis Sánchez,90,77k
David Silva,90,62k
Henrik Larsson,90,389k
Alessandro Nesta,90,324k
Marc Overmars,90,360k
Frank Rijkaard,90,400k
Luis Hernández,90,395k
Hernán Crespo,90,500k
Jari Litmanen,90,300k
Dennis Bergkamp,90,291k
Emmanuel Petit,90,443k
Filippo Inzaghi,90,360k
Rui Costa,90,350k
Sergio Agüero,90,267k
Paulo Dybala,90,230k
Alessandro Del Piero,90,391k
Carles Puyol,90,300k
Deco,90,349k
Jay-Jay Okocha,90,315k
Ruud Gullit,90,1.25m
Rio Ferdinand,90,696k
Ronaldo,90,999k
Thierry Henry,90,450k
Toni Kroos,90,31k
Gonzalo Higuaín,90,30k
Sergio Ramos,90,64k
Eden Hazard,90,75k
Ivan Perišić,89,0
Romelu Lukaku,89,115k
Ousmane Dembélé,89,85k
Denis Cheryshev,89,28.25k
Mario Mandžukić,89,32.75k
Pablo Zabaleta,89,27.5k
Luisão,89,29.25k
Emil Forsberg,89,25k
Marcos Rojo,89,70k
Javier Hernández,89,33k
Xherdan Shaqiri,89,47.5k
Ahmed Musa,89,33.75k
John Stones,89,101k
Victor Moses,89,73k
Lukas Podolski,89,24k
Patrice Evra,89,37.75k
